style_picture_name,content_picture_name,created_at,learning_rate,Beta_1,epochs,style_weight,content_weight,output_name,time_to_output,content_layers,style_layers,success
teddy_sue_charles.jpg,IMG_5694.JPG,2020-09-22,0.08127729534754095,0.816183329597938,4,0.001,1.0,2020-09-22.jpg,396.1115815639496,['block5_conv3'],"['block1_conv1', 'block2_conv1', 'block1_conv2', 'block2_conv2', 'block3_conv2']",False
viejos_comiendo.jpg,IMAG0146.jpg,2020-09-22,0.009044523789024574,0.5220047436928628,4,1e-05,10.0,2020-09-22.jpg,1398.0403258800507,['block4_conv2'],"['block1_conv1', 'block2_conv1', 'block1_conv2', 'block2_conv2', 'block3_conv2']",True
munch_el_asesino.jpg,IMG-20170911-WA0004.jpg,2020-09-22,0.0017691584457202882,0.5156700209590743,9,0.001,1000.0,2020-09-22.jpg,135.89697003364563,"['block4_conv2', 'block5_conv2']","['block1_conv1', 'block2_conv1', 'block1_conv2', 'block2_conv2', 'block3_conv2']",False
almuerzo_de_los_remeros.jpg,IMG_5438.JPG,2020-09-22,0.00900137588110781,0.8501004632926097,10,0.001,10.0,2020-09-22.jpg,140.20762467384338,"['block5_conv2', 'block3_conv3']","['block1_conv1', 'block2_conv1', 'block1_conv2', 'block2_conv2', 'block3_conv2']",False
el_viejo_guitarrista_ciego.jpg,IMG_5438.JPG,2020-09-22,0.009892360668116103,0.5793739289867772,9,1e-06,10.0,2020-09-22.jpg,636.3950185775757,['block4_conv2'],"['block1_conv2', 'block2_conv2', 'block3_conv2', 'block4_conv2', 'block5_conv2']",False
munch_el_asesino.jpg,cd415562-40e0-4544-9dc9-81102117cf62.JPG,2020-09-22,0.1780047266094101,0.592875731622933,6,1e-06,0.001,2020-09-22.jpg,132.92666268348694,['block5_conv2'],"['block1_conv1', 'block2_conv1', 'block1_conv2', 'block2_conv2', 'block3_conv2']",False
almuerzo_de_los_remeros.jpg,IMG_6858.JPG,2020-09-22,0.006005993320950798,0.8867332662815708,6,1e-06,1.0,2020-09-22.jpg,1528.688097000122,['block5_conv3'],"['block1_conv2', 'block2_conv2', 'block3_conv2', 'block4_conv2', 'block5_conv2']",False
lujo_calma_vuluptuosidad.jpg,IMG-20170524-WA0002.jpg,2020-09-22,0.008489774293790464,0.6340245896884766,3,1e-05,100.0,2020-09-22.jpg,130.01623129844666,['block5_conv3'],"['block1_conv1', 'block2_conv1', 'block3_conv1', 'block4_conv1', 'block5_conv1']",False
lujo_calma_vuluptuosidad.jpg,IMG_2851.JPG,2020-09-22,0.005283229324916442,0.7651694279071815,6,0.001,1.0,2020-09-22.jpg,118.60697793960571,['block4_conv2'],"['block1_conv1', 'block2_conv1', 'block1_conv2', 'block2_conv2', 'block3_conv3', 'block4_conv3']",False
jmw_turner.jpg,putin.jpg,2020-09-22,0.11988699354964898,0.8181952012649638,4,1e-05,10.0,2020-09-22.jpg,273.5875527858734,['block4_conv2'],"['block1_conv1', 'block2_conv1', 'block3_conv1', 'block4_conv1', 'block5_conv1']",False
munch_el_asesino.jpg,IMG_7439.JPG,2020-09-22,0.004591313633421589,0.8991601096104224,9,0.1,100.0,2020-09-22.jpg,127.20344805717468,['block5_conv3'],"['block1_conv2', 'block2_conv2', 'block3_conv2', 'block4_conv2', 'block5_conv2']",False
autoretrato_atl.jpg,IMG_6418.JPG,2020-09-22,0.002118404166452157,0.5458447551017875,5,1e-06,10.0,2020-09-22.jpg,129.49188590049744,['block5_conv2'],"['block1_conv1', 'block2_conv1', 'block1_conv2', 'block2_conv2', 'block3_conv3', 'block4_conv3']",False
hombre_sentado.jpg,IMG_6858.JPG,2020-09-22,0.009354616495513033,0.5821000571174479,8,0.1,1000.0,2020-09-22.jpg,121.95492386817932,['block5_conv2'],"['block1_conv1', 'block2_conv1', 'block3_conv1', 'block4_conv1', 'block5_conv1']",False
